70	Firewall Piercing mini-HOWTO	Firewall-Piercing.sgml	MINI        	SGML        	DocBook     	            	0.92        	2001-07-16	http://www.linuxdoc.org/HOWTO/mini/Firewall-Piercing.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
325	The Linux Electronic Mail Administrator HOWTO	Mail-Administrator-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	3.2         	2000-01-01	http://www.linuxdoc.org/HOWTO/Mail-Administrator-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
53	Dip+SLiRP+CSLIP mini-HOWTO		MINI        	TEXT        	N/A         	            	1.0         	1995-10-14	http://metalab.unc.edu/pub/Linux/docs/HOWTO/unmaintained/mini/Dip+SLiRP+CSLIP		A	U	U	\N	1970-01-01		U	f	\N	NONE        	\N
56	DNS HOWTO	DNS-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	3.1         	2001-01-17	http://www.linuxdoc.org/HOWTO/DNS-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
60	Dynamic-IP-Hacks Mini-HowTo		MINI        	TEXT        	N/A         	            	2.1.3       	1997-05-24	http://metalab.unc.edu/pub/Linux/docs/HOWTO/unmaintained/mini/Dynamic-IP-Hacks		A	U	U	\N	1970-01-01		U	f	\N	OTHER       	\N
61	Emacs Beginners HOWTO	Emacs-Beginner-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.12        	2001-03-24	http://www.linuxdoc.org/HOWTO/Emacs-Beginner-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
62	Enabling Process Accounting on Linux HOWTO	Process-Accounting.sgml	HOWTO       	SGML        	DocBook     	4.1         	1.1         	2001-02-08	http://www.linuxdoc.org/HOWTO/mini/Process-Accounting/index.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
421	English-language GNU/Linux distributions on CD-ROM		HOWTO       	SGML        	DocBook     	            	7.0         	2001-07-10	http://linuxdoc.org/HOWTO/Distributions-HOWTO/		N	\N	U	\N	2000-01-31	http://www.startext.co.uk/msw/NEW_Distributions-HOWTO/	U	t	\N	OTHER       	\N
73	From DOS/Windows to Linux HOWTO	DOS-Win-to-Linux-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.3.5       	2000-07-31	http://www.linuxdoc.org/HOWTO/DOS-Win-to-Linux-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
74	From Power Up To Bash Prompt	From-PowerUp-To-Bash-Prompt-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.9         	2000-10-31	http://www.linuxdoc.org/HOWTO/From-PowerUp-To-Bash-Prompt-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
75	From VMS to Linux HOWTO	VMS-to-Linux-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.1.3       	1999-09-16	http://www.linuxdoc.org/HOWTO/VMS-to-Linux-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
76	Ftape-HOWTO	Ftape-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	3.0         	1998-07-31	http://www.linuxdoc.org/HOWTO/Ftape-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
78	FTP mini-HOWTO		MINI        	SGML        	DocBook     	            	0.2         	2000-01-08	http://www.linuxdoc.org/HOWTO/mini/FTP.html		N	?	U	\N	1970-01-01	/HOWTO/	U	t	\N	OTHER       	\N
80	Glibc 2 HOWTO	Glibc2-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.6         	1998-06-21	http://www.linuxdoc.org/HOWTO/Glibc2-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
81	GNU/Linux AI & Alife HOWTO	AI-Alife-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.6         	2001-06-16	http://www.linuxdoc.org/HOWTO/AI-Alife-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
82	GNU/Linux pre-installation checklist	Pre-Installation-Checklist.sgml	HOWTO       	SGML        	DocBook     	3.1         	2.6.0       	2000-11-27	http://www.linuxdoc.org/HOWTO/mini/Pre-Installation-Checklist/index.html		N	?	U	\N	1970-01-01	http://members.tripod.com/~algolog/lnxchk.htm	U	t	\N	LDPL        	\N
84	GUI-Development Tools for Linux		HOWTO       	TEXT        	N/A         	            	none        	1997-07-29	http://metalab.unc.edu/pub/Linux/docs/HOWTO/unmaintained/mini/GUI-Development		A	U	U	\N	1970-01-01		U	f	\N	OTHER       	\N
85	Handspring-Visor mini-HOWTO	Handspring-Visor.sgml	MINI        	SGML        	LinuxDoc    	            	0.4         	2000-08-03	http://www.linuxdoc.org/HOWTO/mini/Handspring-Visor.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
